자치구,시간_구분,대여_건수,반납_건수,|대여-반납|,빈대여소의비율,std,빈대여소시간,유출량,유입량,회전율,최대이용량,최소이용량,최대최소_편차,대여소_개수,면적,밀도(개/km²),이동량
강남구,활성,152997,139834,13163,0.2165697674418604,0.0377309098245804,5811,2771,2162,1645.1179775280898,35009,1935,33074,189,39.51,4.783599088838269,609
강동구,활성,182775,189338,6563,0.0811776718856364,0.0060342097057392,1431,1815,1980,3180.4529914529912,40674,2346,38328,137,24.58,5.573637103336046,165
강북구,활성,51588,51014,574,0.1151709401709401,0.0168220892527902,1078,915,914,1710.0333333333333,10667,1473,9194,69,23.61,2.922490470139772,1
강서구,활성,523925,526801,2876,0.0633940620782726,0.0132373290015146,1879,1782,1864,5501.1832460732985,117428,4750,112678,217,41.43,5.237750422399228,82
관악구,활성,82468,84885,2417,0.1281173164734808,0.0071578142884487,1459,1147,1172,2202.0131578947367,18205,2032,16173,95,29.57,3.2127155901251268,25
광진구,활성,196505,203113,6608,0.139481000926784,0.0124720481970546,1806,2791,2826,4814.674698795181,43960,2672,41288,108,17.06,6.330597889800704,35
구로구,활성,186699,183162,3537,0.0540935672514619,0.0126608904371222,962,2971,2908,3216.182608695652,43786,2422,41364,124,20.12,6.163021868787276,63
금천구,활성,87345,83160,4185,0.0606750981750981,0.009024743553814,677,989,911,2273.4,20862,719,20143,79,13.0,6.076923076923077,78
노원구,활성,248086,251458,3372,0.1149974186886938,0.02429382865762,2673,2361,2355,3308.2384105960264,51828,3439,48389,170,35.44,4.796839729119639,6
도봉구,활성,92003,92949,946,0.0735296296296296,0.014655034951559,844,1608,1626,2466.026666666666,20121,1593,18528,95,20.7,4.5893719806763285,18
동대문구,활성,130359,138073,7714,0.0698092557848655,0.0087368861515779,893,2764,2940,3273.560975609756,28576,2312,26264,104,14.2,7.323943661971831,176
동작구,활성,75814,80802,4988,0.114494301994302,0.0229704995656042,1286,1955,2051,2116.4324324324325,16527,1542,14985,83,16.35,5.076452599388379,96
마포구,활성,209373,209517,144,0.153258547008547,0.0276172837199846,2869,3278,3250,3520.084033613445,48771,2132,46639,142,23.88,5.9463986599665,28
서대문구,활성,76544,76925,381,0.2257043368154479,0.0219918634494653,2852,2042,1883,1894.679012345679,16742,1219,15523,94,17.6,5.340909090909091,159
서초구,활성,138649,137057,1592,0.1264445648248465,0.0192558674261837,2801,2072,2122,1875.551020408164,32553,1220,31333,169,47.0,3.595744680851064,50
성동구,활성,179096,170914,8182,0.1350927441352973,0.0326312001145153,1981,4050,4019,3723.510638297872,40147,1866,38281,109,16.85,6.4688427299703255,31
성북구,활성,85966,90069,4103,0.1380974992086103,0.0191668633612344,1745,1920,1967,2146.768292682927,18997,1670,17327,99,24.56,4.030944625407166,47
송파구,활성,408306,413047,4741,0.1320334757834757,0.0107298093560177,4449,3337,3506,3785.0368663594472,92958,4013,88945,244,33.88,7.201889020070838,169
양천구,활성,253174,263829,10655,0.0453924566768603,0.0127418833800494,757,2446,2648,4616.098214285715,57068,2268,54800,120,17.4,6.896551724137932,202
영등포구,활성,387592,374806,12786,0.1190653432588916,0.0447067399973426,2879,4784,4438,4794.955974842767,87227,3677,83550,190,24.57,7.733007733007732,346
용산구,활성,88240,88477,237,0.2343227424749163,0.0303314128086485,3363,1737,1763,1941.9450549450548,20475,1186,19289,97,21.87,4.435299497027892,26
은평구,활성,96808,102330,5522,0.1651774151774151,0.0168259992185669,2551,1035,1125,2032.0204081632653,20977,1358,19619,115,29.69,3.8733580330077455,90
종로구,활성,124765,112340,12425,0.2890899949723479,0.0608446654916335,4600,2540,2154,2324.558823529412,26819,1770,25049,118,23.91,4.93517356754496,386
중구,활성,94846,83600,11246,0.3269230769230769,0.0815674958554357,4539,2445,2092,1982.733333333333,22006,1169,20837,107,9.96,10.7429718875502,353
중랑구,활성,114008,120431,6423,0.0765139116202946,0.0096375584421848,1122,1353,1551,2494.031914893617,24154,1990,22164,106,18.5,5.72972972972973,198
