자치구,시간_구분,유출량,유입량,총 유출량,총 유입량,유출 비율(%),유입 비율(%)
강남구,중간,2611,2561,5793,5166,45.1,49.6
강동구,중간,2553,2178,4719,4640,54.1,46.9
강북구,중간,1319,1164,2583,2465,51.1,47.2
강서구,중간,2197,1870,4323,4201,50.8,44.5
관악구,중간,1637,1180,3140,2784,52.1,42.4
광진구,중간,3307,2726,6670,6165,49.6,44.2
구로구,중간,3295,3293,6755,6839,48.8,48.2
금천구,중간,858,972,1979,2091,43.4,46.5
노원구,중간,3132,2876,6168,5928,50.8,48.5
도봉구,중간,2215,1955,4208,4153,52.6,47.1
동대문구,중간,3783,3261,7184,7263,52.7,44.9
동작구,중간,2607,2230,5006,4972,52.1,44.9
마포구,중간,3401,3796,7307,7618,46.5,49.8
서대문구,중간,2912,2162,5363,4582,54.3,47.2
서초구,중간,2180,2259,4587,4753,47.5,47.5
성동구,중간,4157,4523,8929,9385,46.6,48.2
성북구,중간,2758,2329,5247,5048,52.6,46.1
송파구,중간,3845,3811,7723,7979,49.8,47.8
양천구,중간,3410,2810,6337,6103,53.8,46
영등포구,중간,4572,4838,10021,10135,45.6,47.7
용산구,중간,1737,1632,3728,3709,46.6,44
은평구,중간,1394,1124,2641,2604,52.8,43.2
종로구,중간,2842,2928,5818,5498,48.8,53.3
중구,중간,2751,2887,5606,5351,49.1,54
중랑구,중간,1858,1549,3590,3599,51.8,43
