자치구,시간_구분,회전율
강남구,활성,1645.1179775280898
강동구,활성,3180.4529914529912
강북구,활성,1710.0333333333333
강서구,활성,5501.1832460732985
관악구,활성,2202.0131578947367
광진구,활성,4814.674698795181
구로구,활성,3216.182608695652
금천구,활성,2273.4
노원구,활성,3308.2384105960264
도봉구,활성,2466.0266666666666
동대문구,활성,3273.560975609756
동작구,활성,2116.4324324324325
마포구,활성,3520.084033613445
서대문구,활성,1894.679012345679
서초구,활성,1875.5510204081634
성동구,활성,3723.5106382978724
성북구,활성,2146.768292682927
송파구,활성,3785.0368663594472
양천구,활성,4616.098214285715
영등포구,활성,4794.955974842767
용산구,활성,1941.9450549450548
은평구,활성,2032.0204081632653
종로구,활성,2324.5588235294117
중구,활성,1982.7333333333333
중랑구,활성,2494.031914893617
