대여소_ID,total_records,empty_count,empty_ratio
ST-196,48,23,47.91666666666667
ST-2519,48,19,39.58333333333333
ST-2517,48,15,31.25
ST-2520,48,14,29.166666666666668
ST-2518,48,13,27.083333333333332
ST-147,48,13,27.083333333333332
ST-1437,48,12,25.0
ST-134,48,12,25.0
ST-2526,48,11,22.916666666666664
ST-1772,48,11,22.916666666666664
ST-3297,48,10,20.833333333333336
ST-1776,48,10,20.833333333333336
ST-1773,48,10,20.833333333333336
ST-2525,48,9,18.75
ST-1790,48,8,16.666666666666664
ST-2422,48,8,16.666666666666664
ST-1769,48,8,16.666666666666664
ST-2516,48,8,16.666666666666664
ST-2521,48,8,16.666666666666664
ST-137,48,8,16.666666666666664
ST-1778,48,8,16.666666666666664
ST-136,48,7,14.583333333333334
ST-126,48,6,12.5
ST-3161,48,6,12.5
ST-1774,48,6,12.5
ST-1435,48,5,10.416666666666668
ST-3305,48,5,10.416666666666668
ST-116,48,5,10.416666666666668
ST-2693,48,4,8.333333333333332
ST-1789,48,4,8.333333333333332
ST-1777,48,4,8.333333333333332
ST-1668,48,4,8.333333333333332
ST-2522,48,4,8.333333333333332
ST-138,48,3,6.25
ST-1670,48,3,6.25
ST-148,48,3,6.25
ST-2514,48,3,6.25
ST-1781,48,2,4.166666666666666
ST-1771,48,2,4.166666666666666
ST-1440,48,2,4.166666666666666
ST-1439,48,2,4.166666666666666
ST-1438,48,2,4.166666666666666
ST-1775,48,2,4.166666666666666
ST-1779,48,2,4.166666666666666
ST-1436,48,2,4.166666666666666
ST-1780,48,2,4.166666666666666
ST-1768,48,2,4.166666666666666
ST-140,48,2,4.166666666666666
ST-1782,48,2,4.166666666666666
ST-1783,48,2,4.166666666666666
ST-1785,48,2,4.166666666666666
ST-1791,48,2,4.166666666666666
ST-185,48,2,4.166666666666666
ST-1761,48,2,4.166666666666666
ST-1786,48,2,4.166666666666666
ST-189,48,2,4.166666666666666
ST-152,48,2,4.166666666666666
ST-197,48,2,4.166666666666666
ST-943,48,2,4.166666666666666
ST-944,48,2,4.166666666666666
ST-946,48,2,4.166666666666666
ST-2624,48,2,4.166666666666666
ST-2527,48,2,4.166666666666666
ST-195,48,2,4.166666666666666
ST-198,48,2,4.166666666666666
ST-162,48,2,4.166666666666666
ST-199,48,2,4.166666666666666
ST-2430,48,2,4.166666666666666
ST-2431,48,2,4.166666666666666
ST-2432,48,2,4.166666666666666
ST-2433,48,2,4.166666666666666
ST-2434,48,2,4.166666666666666
ST-338,48,2,4.166666666666666
ST-3291,48,2,4.166666666666666
ST-3255,48,2,4.166666666666666
ST-3210,48,2,4.166666666666666
ST-3053,48,2,4.166666666666666
ST-3052,48,2,4.166666666666666
ST-2903,48,2,4.166666666666666
ST-2845,48,2,4.166666666666666
ST-2805,48,2,4.166666666666666
ST-2786,48,2,4.166666666666666
ST-2626,48,2,4.166666666666666
ST-2625,48,2,4.166666666666666
ST-194,48,2,4.166666666666666
ST-187,48,2,4.166666666666666
ST-186,48,2,4.166666666666666
ST-1669,48,2,4.166666666666666
ST-163,48,2,4.166666666666666
ST-977,48,2,4.166666666666666
